Reason,City,City & Province,,hub,Food Hub,Total,adjusted_hungry_people,,coordinate
Food & Meals,Rutland,"Rutland, BC","Rutland BC,",,,2,9,,"54.144851,-125.380685,""Rutland BC,"",""BC, CA"",,MapQuest,state/province"
Food & Meals,Watson Lake,"Watson Lake, BC","Watson Lake BC,",,,2,9,,"54.144851,-125.380685,""Watson Lake BC,"",""BC, CA"",,MapQuest,state/province"
Food & Meals,Revelstoke,"Revelstoke, BC","Revelstoke BC,",,,2,9,,"50.997047,-118.197822,""Revelstoke BC,"",""Revelstoke, BC, CA"",,MapQuest,city/town"
Food & Meals,Masset,"Masset, BC","Masset BC,",,,2,9,,"54.01336,-132.141243,""Masset BC,"",""Masset, BC, CA"",,MapQuest,city/town"
Food & Meals,Prince Rupert,"Prince Rupert, BC","Prince Rupert BC,",,,2,9,,"54.315099,-130.320961,""Prince Rupert BC,"",""Prince Rupert, BC, CA"",,MapQuest,city/town"
Food & Meals,Salmo,"Salmo, BC","Salmo BC,",,,2,6,,"49.1949,-117.279207,""Salmo BC,"",""Salmo, BC, CA"",,MapQuest,city/town"
Food & Meals,Port Hardy,"Port Hardy, BC","Port Hardy BC,",,,2,8,,"50.697375,-127.39354,""Port Hardy BC,"",""Port Hardy, BC, CA"",,MapQuest,city/town"
Food & Meals,Port Alice,"Port Alice, BC","Port Alice BC,",,,2,5,,"50.384897,-127.451393,""Port Alice BC,"",""Port Alice, BC, CA"",,MapQuest,city/town"
Food & Meals,Pitt Meadows,"Pitt Meadows, BC","Pitt Meadows BC,",,,2,8,,"49.222415,-122.689542,""Pitt Meadows BC,"",""Pitt Meadows, BC, CA"",,MapQuest,city/town"
Food & Meals,Oak Bay,"Oak Bay, BC","Oak Bay BC,",,,2,5,,"48.433964,-123.313223,""Oak Bay BC,"",""Oak Bay, BC, CA"",,MapQuest,city/town"
Food & Meals,Okanagan Falls,"Okanagan Falls, BC","Okanagan Falls BC,",,,2,9,,"49.631241,-119.517703,""Okanagan Falls BC,"",""Okanagan-Similkameen E, BC, CA"",,MapQuest,city/town"
Food & Meals,Creston,"Creston, BC","Creston BC,",,,2,22,,"49.095543,-116.503134,""Creston BC,"",""Creston, BC, CA"",,MapQuest,city/town"
Food & Meals,Edmonton,"Edmonton, BC","Edmonton BC,",,,2,9,,"54.144851,-125.380685,""Edmonton BC,"",""BC, CA"",,MapQuest,state/province"
Food & Meals,Agassiz,"Agassiz, BC","Agassiz BC,",,,2,9,,"49.233299,-121.766602,""Agassiz BC,"",""Agassiz, Fraser Valley, BC, CA"",,MapQuest,city/town"
Food & Meals,Armstrong,"Armstrong, BC","Armstrong BC,",North Okanagan,Land to Table Network,2,6,,"50.448071,-119.193774,""Armstrong BC,"",""Armstrong, BC, CA"",,MapQuest,city/town"
Food & Meals,Houston,"Houston, BC","Houston BC,",,,2,8,,"54.397576,-126.657283,""Houston BC,"",""Houston, BC, CA"",,MapQuest,city/town"
Food & Meals,Keremeos,"Keremeos, BC","Keremeos BC,",,,2,4,,"49.205111,-119.823027,""Keremeos BC,"",""Keremeos, BC, CA"",,MapQuest,city/town"
Food & Meals,Grand Forks,"Grand Forks, BC","Grand Forks BC,",,,2,5,,"49.029939,-118.45261,""Grand Forks BC,"",""Grand Forks, BC, CA"",,MapQuest,city/town"
Food & Meals,North Saanich,"North Saanich, BC","North Saanich BC,",,,2,6,,"48.629988,-123.416439,""North Saanich BC,"",""North Saanich, BC, CA"",,MapQuest,city/town"
Food & Meals,Logan Lake,"Logan Lake, BC","Logan Lake BC,",,,2,5,,"50.492878,-120.812438,""Logan Lake BC,"",""Logan Lake, BC, CA"",,MapQuest,city/town"
Food & Meals,Lumby,"Lumby, BC","Lumby BC,",North Okanagan,Land to Table Network,1,3,,"50.247383,-118.965984,""Lumby BC,"",""Lumby, BC, CA"",,MapQuest,city/town"
